option,date,timestamp_ms,datetime_et,price,size,exchange,conditions
O:SPY240322P00470000,2024-03-15,1710513117447,2024-03-15T10:31:57.447000-04:00,0.1,3,309,[209]
O:SPY240322P00470000,2024-03-15,1710512620672,2024-03-15T10:23:40.672000-04:00,0.1,96,308,[219]
O:SPY240322P00470000,2024-03-15,1710512620672,2024-03-15T10:23:40.672000-04:00,0.1,300,319,[219]
O:SPY240322P00470000,2024-03-15,1710512620533,2024-03-15T10:23:40.533000-04:00,0.1,463,319,[219]
O:SPY240322P00470000,2024-03-15,1710512620533,2024-03-15T10:23:40.533000-04:00,0.1,141,322,[219]
O:SPY240322P00470000,2024-03-15,1710512249692,2024-03-15T10:17:29.692000-04:00,0.11,1,300,[209]
O:SPY240322P00470000,2024-03-15,1710512103765,2024-03-15T10:15:03.765000-04:00,0.11,3,303,[209]
O:SPY240322P00470000,2024-03-15,1710512103765,2024-03-15T10:15:03.765000-04:00,0.11,1,315,[209]
O:SPY240322P00470000,2024-03-15,1710512103765,2024-03-15T10:15:03.765000-04:00,0.11,3,319,[209]
O:SPY240322P00470000,2024-03-15,1710512103765,2024-03-15T10:15:03.765000-04:00,0.11,1,307,[209]
O:SPY240322P00470000,2024-03-15,1710512103765,2024-03-15T10:15:03.765000-04:00,0.11,3,322,[209]
O:SPY240322P00470000,2024-03-15,1710512103765,2024-03-15T10:15:03.765000-04:00,0.11,1,313,[209]
O:SPY240322P00470000,2024-03-15,1710512103763,2024-03-15T10:15:03.763000-04:00,0.11,2,325,[209]
O:SPY240322P00470000,2024-03-15,1710512058853,2024-03-15T10:14:18.853000-04:00,0.11,1,325,[209]
O:SPY240322P00470000,2024-03-15,1710511879819,2024-03-15T10:11:19.819000-04:00,0.12,1,304,[219]
O:SPY240322P00470000,2024-03-15,1710511657666,2024-03-15T10:07:37.666000-04:00,0.12,1,315,[209]
O:SPY240322P00470000,2024-03-15,1710511657666,2024-03-15T10:07:37.666000-04:00,0.12,2,303,[209]
O:SPY240322P00470000,2024-03-15,1710511657666,2024-03-15T10:07:37.666000-04:00,0.12,2,319,[209]
O:SPY240322P00470000,2024-03-15,1710511657665,2024-03-15T10:07:37.665000-04:00,0.12,1,307,[209]
O:SPY240322P00470000,2024-03-15,1710511657665,2024-03-15T10:07:37.665000-04:00,0.12,1,325,[209]
O:SPY240322P00470000,2024-03-15,1710511657665,2024-03-15T10:07:37.665000-04:00,0.12,1,313,[209]
O:SPY240322P00470000,2024-03-15,1710511657665,2024-03-15T10:07:37.665000-04:00,0.12,2,322,[209]
O:SPY240322P00470000,2024-03-15,1710511205513,2024-03-15T10:00:05.513000-04:00,0.12,1,313,[209]
O:SPY240322P00470000,2024-03-15,1710510949258,2024-03-15T09:55:49.258000-04:00,0.12,1,313,[236]
O:SPY240322P00470000,2024-03-15,1710510882124,2024-03-15T09:54:42.124000-04:00,0.12,2,315,[209]
O:SPY240322P00470000,2024-03-15,1710510368998,2024-03-15T09:46:08.998000-04:00,0.11,25,312,[209]
O:SPY240322P00470000,2024-03-15,1710510208407,2024-03-15T09:43:28.407000-04:00,0.11,3,304,[227]
O:SPY240322P00470000,2024-03-15,1710510208407,2024-03-15T09:43:28.407000-04:00,0.11,19,304,[227]
O:SPY240322P00470000,2024-03-15,1710510208407,2024-03-15T09:43:28.407000-04:00,0.11,8,304,[227]
O:SPY240322P00470000,2024-03-15,1710510208407,2024-03-15T09:43:28.407000-04:00,0.11,20,304,[227]
O:SPY240322P00470000,2024-03-15,1710509900222,2024-03-15T09:38:20.222000-04:00,0.11,7,301,[209]
O:SPY240322P00470000,2024-03-15,1710509900222,2024-03-15T09:38:20.222000-04:00,0.11,8,301,[209]
O:SPY240322P00470000,2024-03-15,1710509600879,2024-03-15T09:33:20.879000-04:00,0.11,2,300,[209]
O:SPY240322P00470000,2024-03-15,1710509600879,2024-03-15T09:33:20.879000-04:00,0.11,6,300,[209]
O:SPY240322P00470000,2024-03-15,1710509600879,2024-03-15T09:33:20.879000-04:00,0.11,2,300,[209]
O:SPY240322P00470000,2024-03-15,1710509597591,2024-03-15T09:33:17.591000-04:00,0.11,6,304,[219]
O:SPY240322P00470000,2024-03-15,1710509597591,2024-03-15T09:33:17.591000-04:00,0.11,3,304,[219]
O:SPY240322P00470000,2024-03-15,1710509597591,2024-03-15T09:33:17.591000-04:00,0.11,6,304,[219]
O:SPY240322P00470000,2024-03-15,1710509590325,2024-03-15T09:33:10.325000-04:00,0.11,16,325,[219]
O:SPY240322P00470000,2024-03-15,1710509405877,2024-03-15T09:30:05.877000-04:00,0.12,5,319,[219]
O:SPY240322P00470000,2024-03-15,1710509401267,2024-03-15T09:30:01.267000-04:00,0.12,8,315,[209]
O:SPY240322P00470000,2024-03-15,1710509401267,2024-03-15T09:30:01.267000-04:00,0.12,2,315,[209]
