ticker,timestamp_ms,datetime_et,open,high,low,close,volume,vwap,transactions,otc
SPY,1710270120000,2024-03-12T15:02:00-04:00,516.59,516.615,516.52,516.57,67980,516.5708,814,
SPY,1710270180000,2024-03-12T15:03:00-04:00,516.565,516.81,516.54,516.81,59923,516.658,802,
SPY,1710270240000,2024-03-12T15:04:00-04:00,516.82,516.9,516.8,516.9,96872,516.853,925,
SPY,1710270300000,2024-03-12T15:05:00-04:00,516.885,516.885,516.745,516.755,102906,516.8252,1004,
SPY,1710270360000,2024-03-12T15:06:00-04:00,516.76,516.775,516.68,516.7001,93606,516.7317,917,
SPY,1710270420000,2024-03-12T15:07:00-04:00,516.72,516.78,516.63,516.72,88140,516.7157,857,
SPY,1710270480000,2024-03-12T15:08:00-04:00,516.72,516.8199,516.68,516.78,75243,516.766,763,
SPY,1710270540000,2024-03-12T15:09:00-04:00,516.78,516.88,516.775,516.875,99618,516.8247,875,
SPY,1710270600000,2024-03-12T15:10:00-04:00,516.87,516.9,516.765,516.89,118670,516.8463,989,
SPY,1710270660000,2024-03-12T15:11:00-04:00,516.9,516.9,516.785,516.785,127166,516.8591,1135,
SPY,1710270720000,2024-03-12T15:12:00-04:00,516.785,516.88,516.78,516.875,81489,516.8306,775,
SPY,1710270780000,2024-03-12T15:13:00-04:00,516.875,516.99,516.85,516.89,111412,516.9389,1057,
SPY,1710270840000,2024-03-12T15:14:00-04:00,516.89,516.96,516.85,516.85,150762,516.9184,961,
SPY,1710270900000,2024-03-12T15:15:00-04:00,516.86,516.91,516.84,516.91,94962,516.8721,860,
SPY,1710270960000,2024-03-12T15:16:00-04:00,516.91,516.94,516.6263,516.68,122199,516.7605,1173,
SPY,1710271020000,2024-03-12T15:17:00-04:00,516.68,516.73,516.504,516.52,111618,516.6176,1131,
SPY,1710271080000,2024-03-12T15:18:00-04:00,516.53,516.65,516.41,516.51,122331,516.5048,1097,
SPY,1710271140000,2024-03-12T15:19:00-04:00,516.515,516.67,516.515,516.65,104192,516.6089,974,
SPY,1710271200000,2024-03-12T15:20:00-04:00,516.6492,516.73,516.61,516.675,138467,516.68,987,
SPY,1710271260000,2024-03-12T15:21:00-04:00,516.67,516.93,516.65,516.92,102894,516.7663,1067,
SPY,1710271320000,2024-03-12T15:22:00-04:00,516.915,516.97,516.9,516.94,92087,516.9391,925,
SPY,1710271380000,2024-03-12T15:23:00-04:00,516.95,517.04,516.91,516.99,110621,516.9843,1274,
SPY,1710271440000,2024-03-12T15:24:00-04:00,516.99,517.13,516.965,517.03,107321,517.0668,1170,
SPY,1710271500000,2024-03-12T15:25:00-04:00,517.0203,517.13,517,517.11,81749,517.0666,732,
SPY,1710271560000,2024-03-12T15:26:00-04:00,517.11,517.12,517.04,517.1,75974,517.0802,796,
SPY,1710271620000,2024-03-12T15:27:00-04:00,517.11,517.2,516.95,516.99,160160,517.0816,1520,
SPY,1710271680000,2024-03-12T15:28:00-04:00,516.98,517.005,516.93,517.005,146145,516.9669,1134,
SPY,1710271740000,2024-03-12T15:29:00-04:00,517.005,517.15,516.95,517.11,147525,517.0571,1323,
SPY,1710271800000,2024-03-12T15:30:00-04:00,517.12,517.1299,516.94,516.96,167896,517.0104,1450,
SPY,1710271860000,2024-03-12T15:31:00-04:00,516.96,517,516.91,516.95,156885,516.9498,1318,
SPY,1710271920000,2024-03-12T15:32:00-04:00,516.9494,516.9494,516.67,516.6907,165284,516.7992,1669,
SPY,1710271980000,2024-03-12T15:33:00-04:00,516.7,516.8723,516.685,516.78,161626,516.7925,1399,
SPY,1710272040000,2024-03-12T15:34:00-04:00,516.79,516.86,516.7199,516.73,144140,516.7966,1380,
SPY,1710272100000,2024-03-12T15:35:00-04:00,516.7,516.7,516.525,516.61,179629,516.6192,1511,
SPY,1710272160000,2024-03-12T15:36:00-04:00,516.62,516.84,516.62,516.81,131474,516.7691,1319,
SPY,1710272220000,2024-03-12T15:37:00-04:00,516.8,516.9,516.685,516.9,85429,516.7632,957,
SPY,1710272280000,2024-03-12T15:38:00-04:00,516.91,516.98,516.79,516.8,128104,516.9079,1559,
SPY,1710272340000,2024-03-12T15:39:00-04:00,516.8,516.82,516.68,516.77,175816,516.7533,1427,
SPY,1710272400000,2024-03-12T15:40:00-04:00,516.77,516.94,516.7603,516.9151,143028,516.865,1438,
SPY,1710272460000,2024-03-12T15:41:00-04:00,516.9199,517.08,516.855,517.04,217588,516.9741,1984,
SPY,1710272520000,2024-03-12T15:42:00-04:00,517.04,517.07,516.94,516.96,182854,516.9829,1648,
SPY,1710272580000,2024-03-12T15:43:00-04:00,516.97,517.02,516.825,516.8699,231562,516.9477,1580,
SPY,1710272640000,2024-03-12T15:44:00-04:00,516.86,516.89,516.64,516.64,246985,516.7761,2188,
SPY,1710272700000,2024-03-12T15:45:00-04:00,516.64,516.79,516.6,516.775,189234,516.7154,2061,
SPY,1710272760000,2024-03-12T15:46:00-04:00,516.785,516.835,516.71,516.81,234458,516.7728,2157,
SPY,1710272820000,2024-03-12T15:47:00-04:00,516.81,516.87,516.75,516.8389,163718,516.81,1763,
SPY,1710272880000,2024-03-12T15:48:00-04:00,516.84,516.895,516.75,516.87,488267,516.8468,1906,
SPY,1710272940000,2024-03-12T15:49:00-04:00,516.86,516.87,516.72,516.785,239923,516.7923,1985,
SPY,1710273000000,2024-03-12T15:50:00-04:00,516.78,516.78,516.55,516.72,325260,516.6727,3111,
SPY,1710273060000,2024-03-12T15:51:00-04:00,516.7,517.02,516.66,516.99,295939,516.8353,2737,
SPY,1710273120000,2024-03-12T15:52:00-04:00,517,517.06,516.91,517,237944,516.9678,2636,
SPY,1710273180000,2024-03-12T15:53:00-04:00,517.01,517.17,516.98,517.1506,239454,517.0587,2539,
SPY,1710273240000,2024-03-12T15:54:00-04:00,517.15,517.186,516.925,517.05,352912,517.0916,3465,
SPY,1710273300000,2024-03-12T15:55:00-04:00,517.05,517.38,517.05,517.255,436583,517.2284,4230,
SPY,1710273360000,2024-03-12T15:56:00-04:00,517.25,517.35,517.02,517.28,608024,517.2337,4551,
SPY,1710273420000,2024-03-12T15:57:00-04:00,517.28,517.29,517.06,517.15,448359,517.1471,3540,
SPY,1710273480000,2024-03-12T15:58:00-04:00,517.15,517.16,517,517.05,675660,517.0545,5089,
SPY,1710273540000,2024-03-12T15:59:00-04:00,517.05,517.07,516.73,516.81,1658435.0,516.0203,9828,
SPY,1710273600000,2024-03-12T16:00:00-04:00,516.82,516.85,516.68,516.81,245247,516.7695,1067,
SPY,1710336600000,2024-03-13T09:30:00-04:00,517.11,517.12,516.88,516.98,382129,517.0282,3873,
SPY,1710336660000,2024-03-13T09:31:00-04:00,516.97,516.98,516.73,516.76,208468,516.8662,2606,
SPY,1710336720000,2024-03-13T09:32:00-04:00,516.75,516.905,516.66,516.74,158832,516.7597,1854,
SPY,1710336780000,2024-03-13T09:33:00-04:00,516.75,516.92,516.71,516.8,154740,516.8258,1904,
SPY,1710336840000,2024-03-13T09:34:00-04:00,516.79,516.83,516.67,516.67,151132,516.7368,1849,
SPY,1710336900000,2024-03-13T09:35:00-04:00,516.67,516.81,516.61,516.78,128692,516.706,1483,
SPY,1710336960000,2024-03-13T09:36:00-04:00,516.79,516.79,516.6,516.65,112671,516.701,1546,
SPY,1710337020000,2024-03-13T09:37:00-04:00,516.66,516.68,516.49,516.61,137878,516.5719,1697,
SPY,1710337080000,2024-03-13T09:38:00-04:00,516.61,516.66,516.44,516.6099,126683,516.5524,1436,
SPY,1710337140000,2024-03-13T09:39:00-04:00,516.6,516.6201,516.43,516.56,132839,516.495,1594,
SPY,1710337200000,2024-03-13T09:40:00-04:00,516.55,516.6,516.2,516.22,225118,516.3649,2566,
SPY,1710337260000,2024-03-13T09:41:00-04:00,516.21,516.549,516.1687,516.485,190263,516.3461,2040,
SPY,1710337320000,2024-03-13T09:42:00-04:00,516.48,516.52,516.36,516.42,99142,516.4588,1249,
SPY,1710337380000,2024-03-13T09:43:00-04:00,516.44,516.47,516.24,516.24,157924,516.3423,1814,
SPY,1710337440000,2024-03-13T09:44:00-04:00,516.2313,516.36,516.16,516.185,130737,516.2311,1678,
SPY,1710337500000,2024-03-13T09:45:00-04:00,516.2,516.33,516.01,516.31,265575,516.167,2892,
SPY,1710337560000,2024-03-13T09:46:00-04:00,516.3,516.33,516.04,516.143,264093,516.2005,2529,
SPY,1710337620000,2024-03-13T09:47:00-04:00,516.14,516.23,516,516.11,267543,516.1668,2498,
SPY,1710337680000,2024-03-13T09:48:00-04:00,516.11,516.2,515.95,516.17,259799,516.1019,2862,
SPY,1710337740000,2024-03-13T09:49:00-04:00,516.18,516.229,516,516.16,171225,516.1086,1868,
SPY,1710337800000,2024-03-13T09:50:00-04:00,516.16,516.215,516.12,516.17,161661,516.1602,1729,
SPY,1710337860000,2024-03-13T09:51:00-04:00,516.17,516.23,516.05,516.17,140605,516.143,1479,
SPY,1710337920000,2024-03-13T09:52:00-04:00,516.19,516.26,516.13,516.22,118031,516.1956,1294,
SPY,1710337980000,2024-03-13T09:53:00-04:00,516.23,516.27,516.12,516.165,155078,516.1873,1720,
SPY,1710338040000,2024-03-13T09:54:00-04:00,516.17,516.17,516.08,516.13,105035,516.1326,1250,
SPY,1710338100000,2024-03-13T09:55:00-04:00,516.14,516.36,516.12,516.23,121310,516.2327,1522,
SPY,1710338160000,2024-03-13T09:56:00-04:00,516.21,516.23,516.14,516.18,105656,516.1867,1271,
SPY,1710338220000,2024-03-13T09:57:00-04:00,516.18,516.28,516.125,516.24,110591,516.1905,1406,
SPY,1710338280000,2024-03-13T09:58:00-04:00,516.23,516.25,516.0494,516.09,97458,516.1086,1297,
SPY,1710338340000,2024-03-13T09:59:00-04:00,516.09,516.16,516.06,516.08,107790,516.1011,1295,
SPY,1710338400000,2024-03-13T10:00:00-04:00,516.08,516.1,515.88,515.98,365850,515.9699,3742,
SPY,1710338460000,2024-03-13T10:01:00-04:00,515.97,516.03,515.67,515.84,222734,515.8338,2337,
SPY,1710338520000,2024-03-13T10:02:00-04:00,515.83,515.97,515.72,515.88,139182,515.8799,1649,
SPY,1710338580000,2024-03-13T10:03:00-04:00,515.9,515.92,515.77,515.865,79049,515.8477,1170,
SPY,1710338640000,2024-03-13T10:04:00-04:00,515.8699,516.05,515.86,515.995,181880,515.9995,1771,
SPY,1710338700000,2024-03-13T10:05:00-04:00,516,516.13,515.945,516.1099,169501,516.0615,1663,
SPY,1710338760000,2024-03-13T10:06:00-04:00,516.11,516.275,516.09,516.26,205341,516.2123,1970,
SPY,1710338820000,2024-03-13T10:07:00-04:00,516.25,516.29,516.12,516.15,157251,516.2022,1719,
SPY,1710338880000,2024-03-13T10:08:00-04:00,516.16,516.19,516.07,516.12,109284,516.1259,1283,
SPY,1710338940000,2024-03-13T10:09:00-04:00,516.1,516.37,516.08,516.34,133168,516.2809,2617,
SPY,1710339000000,2024-03-13T10:10:00-04:00,516.35,516.35,516.14,516.1403,123457,516.2568,2754,
SPY,1710339060000,2024-03-13T10:11:00-04:00,516.15,516.54,516.15,516.48,194474,516.3896,3645,
SPY,1710339120000,2024-03-13T10:12:00-04:00,516.49,516.58,516.45,516.54,174678,516.5232,3157,
SPY,1710339180000,2024-03-13T10:13:00-04:00,516.545,516.57,516.4635,516.54,102419,516.5272,2490,
SPY,1710339240000,2024-03-13T10:14:00-04:00,516.53,516.59,516.2588,516.2799,118126,516.4076,2736,
SPY,1710339300000,2024-03-13T10:15:00-04:00,516.27,516.4,516.245,516.34,106170,516.3291,2731,
SPY,1710339360000,2024-03-13T10:16:00-04:00,516.35,516.425,516.08,516.14,100857,516.2428,2611,
SPY,1710339420000,2024-03-13T10:17:00-04:00,516.15,516.205,516.095,516.1425,56680,516.1416,2242,
SPY,1710339480000,2024-03-13T10:18:00-04:00,516.14,516.4,516.14,516.3631,81095,516.2818,2150,
SPY,1710339540000,2024-03-13T10:19:00-04:00,516.38,516.46,516.32,516.327,76614,516.4048,2077,
SPY,1710339600000,2024-03-13T10:20:00-04:00,516.32,516.455,516.26,516.4,89778,516.3458,2277,
SPY,1710339660000,2024-03-13T10:21:00-04:00,516.41,516.4955,516.401,516.415,103984,516.4502,2573,
SPY,1710339720000,2024-03-13T10:22:00-04:00,516.42,516.45,516.29,516.295,68751,516.3784,1278,
SPY,1710339780000,2024-03-13T10:23:00-04:00,516.31,516.44,516.195,516.41,164627,516.2945,1676,
SPY,1710339840000,2024-03-13T10:24:00-04:00,516.43,516.5099,516.38,516.43,132435,516.4425,1230,
SPY,1710339900000,2024-03-13T10:25:00-04:00,516.44,516.55,516.405,516.42,116987,516.4974,1344,
SPY,1710339960000,2024-03-13T10:26:00-04:00,516.43,516.5499,516.305,516.34,100442,516.4516,1069,
SPY,1710340020000,2024-03-13T10:27:00-04:00,516.35,516.47,516.3,516.415,60603,516.3835,841,
SPY,1710340080000,2024-03-13T10:28:00-04:00,516.4199,516.51,516.38,516.4397,24713,516.443,490,
SPY,1710340140000,2024-03-13T10:29:00-04:00,516.4689,516.56,516.425,516.425,59366,516.4963,848,
SPY,1710340200000,2024-03-13T10:30:00-04:00,516.42,516.59,516.39,516.51,88064,516.514,1128,
SPY,1710340260000,2024-03-13T10:31:00-04:00,516.51,516.5499,516.4001,516.505,57813,516.4674,839,
SPY,1710340320000,2024-03-13T10:32:00-04:00,516.51,516.62,516.4,516.405,129676,516.5231,1338,
SPY,1710340380000,2024-03-13T10:33:00-04:00,516.43,516.655,516.41,516.615,115041,516.5714,1232,
SPY,1710340440000,2024-03-13T10:34:00-04:00,516.6156,516.65,516.56,516.605,82959,516.5963,950,
