option,date,timestamp_ms,datetime_et,open,high,low,close,volume,vwap,transactions,otc
O:SPY240315C00470000,2024-03-14,1710429619000,2024-03-14T11:20:19-04:00,44.97,44.97,44.93,44.93,3,44.9567,3,
O:SPY240315C00470000,2024-03-14,1710429635000,2024-03-14T11:20:35-04:00,44.6,44.6,44.6,44.6,10,44.6,6,
O:SPY240315C00470000,2024-03-14,1710429654000,2024-03-14T11:20:54-04:00,44.58,44.58,44.58,44.58,1,44.58,1,
O:SPY240315C00470000,2024-03-14,1710429982000,2024-03-14T11:26:22-04:00,44.23,44.23,44.19,44.2,5,44.21,4,
O:SPY240315C00470000,2024-03-14,1710430339000,2024-03-14T11:32:19-04:00,44.25,44.25,44.21,44.21,5,44.226,4,
O:SPY240315C00470000,2024-03-14,1710431145000,2024-03-14T11:45:45-04:00,44.62,44.62,44.62,44.62,3,44.62,1,
O:SPY240315C00470000,2024-03-14,1710431634000,2024-03-14T11:53:54-04:00,44.74,44.74,44.74,44.74,2,44.74,1,
O:SPY240315C00470000,2024-03-14,1710432485000,2024-03-14T12:08:05-04:00,44,44,44,44,5,44,2,
O:SPY240315C00470000,2024-03-14,1710432645000,2024-03-14T12:10:45-04:00,43.97,43.97,43.97,43.97,4,43.97,1,
O:SPY240315C00470000,2024-03-14,1710434516000,2024-03-14T12:41:56-04:00,44.54,44.54,44.54,44.54,1,44.54,1,
O:SPY240315C00470000,2024-03-14,1710435654000,2024-03-14T13:00:54-04:00,43.85,43.85,43.85,43.85,7,43.85,4,
O:SPY240315C00470000,2024-03-14,1710435942000,2024-03-14T13:05:42-04:00,43.81,44,43.8,43.81,7521,43.8183,16,
O:SPY240315C00470000,2024-03-14,1710436529000,2024-03-14T13:15:29-04:00,43.76,43.76,43.76,43.76,1,43.76,1,
O:SPY240315C00470000,2024-03-14,1710437245000,2024-03-14T13:27:25-04:00,43.44,43.44,43.44,43.44,3,43.44,1,
O:SPY240315C00470000,2024-03-14,1710437482000,2024-03-14T13:31:22-04:00,42.76,42.76,42.76,42.76,10,42.76,1,
O:SPY240315C00470000,2024-03-14,1710438094000,2024-03-14T13:41:34-04:00,43.45,43.45,43.45,43.45,5,43.45,1,
O:SPY240315C00470000,2024-03-14,1710438956000,2024-03-14T13:55:56-04:00,44.45,44.45,44.45,44.45,6,44.45,1,
O:SPY240315C00470000,2024-03-14,1710440452000,2024-03-14T14:20:52-04:00,44.98,44.98,44.98,44.98,1,44.98,1,
O:SPY240315C00470000,2024-03-14,1710441007000,2024-03-14T14:30:07-04:00,44.67,44.67,44.67,44.67,1,44.67,1,
O:SPY240315C00470000,2024-03-14,1710442179000,2024-03-14T14:49:39-04:00,44.85,44.85,44.85,44.85,1,44.85,1,
O:SPY240315C00470000,2024-03-14,1710442509000,2024-03-14T14:55:09-04:00,44.1,44.1,44.1,44.1,5,44.1,1,
O:SPY240315C00470000,2024-03-14,1710442622000,2024-03-14T14:57:02-04:00,43.65,43.65,43.65,43.65,1800,43.65,1,
O:SPY240315C00470000,2024-03-14,1710442623000,2024-03-14T14:57:03-04:00,44.1,44.1,44.1,44.1,1800,44.1,1,
O:SPY240315C00470000,2024-03-14,1710442624000,2024-03-14T14:57:04-04:00,44.1,44.1,44.09,44.09,3600,44.0992,2,
O:SPY240315C00470000,2024-03-14,1710442626000,2024-03-14T14:57:06-04:00,44.11,44.11,44.1,44.1,3600,44.1092,2,
O:SPY240315C00470000,2024-03-14,1710442627000,2024-03-14T14:57:07-04:00,44.2,44.2,44.19,44.19,3600,44.1992,2,
O:SPY240315C00470000,2024-03-14,1710442629000,2024-03-14T14:57:09-04:00,44.2,44.2,44.19,44.19,3600,44.1992,2,
O:SPY240315C00470000,2024-03-14,1710442632000,2024-03-14T14:57:12-04:00,44.15,44.15,44.15,44.15,1800,44.15,1,
O:SPY240315C00470000,2024-03-14,1710442635000,2024-03-14T14:57:15-04:00,44.15,44.15,44.15,44.15,3600,44.15,1,
O:SPY240315C00470000,2024-03-14,1710443061000,2024-03-14T15:04:21-04:00,43.63,43.63,43.63,43.63,50,43.63,1,
O:SPY240315C00470000,2024-03-14,1710443116000,2024-03-14T15:05:16-04:00,43.16,43.17,43.16,43.17,25815,43.1665,2,
O:SPY240315C00470000,2024-03-14,1710443161000,2024-03-14T15:06:01-04:00,43.39,43.39,43.39,43.39,1,43.39,1,
O:SPY240315C00470000,2024-03-14,1710443235000,2024-03-14T15:07:15-04:00,43.32,43.32,43.32,43.32,1,43.32,1,
O:SPY240315C00470000,2024-03-14,1710443286000,2024-03-14T15:08:06-04:00,43.14,43.14,43.14,43.14,3,43.14,1,
O:SPY240315C00470000,2024-03-14,1710443894000,2024-03-14T15:18:14-04:00,42.85,42.85,42.85,42.85,1,42.85,1,
O:SPY240315C00470000,2024-03-14,1710444558000,2024-03-14T15:29:18-04:00,42.75,42.75,42.75,42.75,95,42.75,1,
O:SPY240315C00470000,2024-03-14,1710444757000,2024-03-14T15:32:37-04:00,42.42,42.42,42.42,42.42,11,42.42,1,
O:SPY240315C00470000,2024-03-14,1710444998000,2024-03-14T15:36:38-04:00,42.29,42.29,42.28,42.28,3600,42.2892,2,
O:SPY240315C00470000,2024-03-14,1710445125000,2024-03-14T15:38:45-04:00,42.37,42.37,42.37,42.37,30,42.37,1,
O:SPY240315C00470000,2024-03-14,1710445622000,2024-03-14T15:47:02-04:00,42.96,42.97,42.96,42.97,10,42.969,6,
O:SPY240315C00470000,2024-03-14,1710445825000,2024-03-14T15:50:25-04:00,43.58,43.58,43.58,43.58,1,43.58,1,
O:SPY240315C00470000,2024-03-14,1710446154000,2024-03-14T15:55:54-04:00,44.2,44.2,44.2,44.2,1,44.2,1,
O:SPY240315C00470000,2024-03-15,1710509401000,2024-03-15T09:30:01-04:00,40.27,40.27,40.27,40.27,1,40.27,1,
O:SPY240315C00470000,2024-03-15,1710510038000,2024-03-15T09:40:38-04:00,39.09,39.09,39.09,39.09,2,39.09,1,
O:SPY240315C00470000,2024-03-15,1710510596000,2024-03-15T09:49:56-04:00,39.56,39.56,39.56,39.56,1,39.56,1,
O:SPY240315C00470000,2024-03-15,1710513491000,2024-03-15T10:38:11-04:00,41,41,41,41,25,41,1,
O:SPY240315C00470000,2024-03-15,1710516890000,2024-03-15T11:34:50-04:00,40.4,40.4,40.4,40.4,4,40.4,1,
O:SPY240315C00470000,2024-03-15,1710517020000,2024-03-15T11:37:00-04:00,40.15,40.15,40.15,40.15,2,40.15,1,
O:SPY240315C00470000,2024-03-15,1710524923000,2024-03-15T13:48:43-04:00,39,39,39,39,1,39,1,
O:SPY240315C00470000,2024-03-15,1710526011000,2024-03-15T14:06:51-04:00,39.5,39.5,39.5,39.5,1,39.5,1,
O:SPY240315C00470000,2024-03-15,1710530710000,2024-03-15T15:25:10-04:00,40,40,40,40,1,40,1,
O:SPY240315C00470000,2024-03-15,1710532124000,2024-03-15T15:48:44-04:00,39.77,39.77,39.77,39.77,1,39.77,1,
O:SPY240315C00470000,2024-03-15,1710532587000,2024-03-15T15:56:27-04:00,39.51,39.51,39.51,39.51,1,39.51,1,
